 AX   BX   CX   DX   SP   BP   SI   DI  FLAGS IP
0001 0031 000c ffca ff9c ffbc 0001 a728 -S-- 012d:55           push bp
0001 0031 000c ffca ff9a ffbc 0001 a728 -S-- 012e:89e5         mov bp, sp
0001 0031 000c ffca ff9a ff9a 0001 a728 -S-- 0130:56           push si
0001 0031 000c ffca ff98 ff9a 0001 a728 -S-- 0131:57           push di
0001 0031 000c ffca ff96 ff9a 0001 a728 -S-- 0132:8b7608       mov si, [bp+8] ;[ffa2]ffa4
0001 0031 000c ffca ff96 ff9a ffa4 a728 -S-- 0135:8b5606       mov dx, [bp+6] ;[ffa0]0004
0001 0031 000c 0004 ff96 ff9a ffa4 a728 -S-- 0138:895402       mov [si+2], dx ;[ffa6]0001
0001 0031 000c 0004 ff96 ff9a ffa4 a728 -S-- 013b:56           push si
0001 0031 000c 0004 ff94 ff9a ffa4 a728 -S-- 013c:ff7604       push [bp+4] ;[ff9e]0001
0001 0031 000c 0004 ff92 ff9a ffa4 a728 -S-- 013f:e82f00       call 0171
0001 0031 000c 0004 ff90 ff9a ffa4 a728 -S-- 0171:b90300       mov cx, 0003
0001 0031 0003 0004 ff90 ff9a ffa4 a728 -S-- 0174:eb00         jmp short 0176
0001 0031 0003 0004 ff90 ff9a ffa4 a728 -S-- 0176:55           push bp
0001 0031 0003 0004 ff8e ff9a ffa4 a728 -S-- 0177:89e5         mov bp, sp
0001 0031 0003 0004 ff8e ff8e ffa4 a728 -S-- 0179:8b4604       mov ax, [bp+4] ;[ff92]0001
0001 0031 0003 0004 ff8e ff8e ffa4 a728 -S-- 017c:8b5e06       mov bx, [bp+6] ;[ff94]ffa4
0001 ffa4 0003 0004 ff8e ff8e ffa4 a728 -S-- 017f:cd20         int 20
<write(1, 0xffca, 1)2 => 1>
0000 ffa4 0003 0004 ff8e ff8e ffa4 a728 -S-- 0181:5d           pop bp
0000 ffa4 0003 0004 ff90 ff9a ffa4 a728 -S-- 0182:c3           ret
0000 ffa4 0003 0004 ff92 ff9a ffa4 a728 -S-- 0142:5b           pop bx
0000 0001 0003 0004 ff94 ff9a ffa4 a728 -S-- 0143:5b           pop bx
0000 ffa4 0003 0004 ff96 ff9a ffa4 a728 -S-- 0144:89c7         mov di, ax
0000 ffa4 0003 0004 ff96 ff9a ffa4 0000 -S-- 0146:09ff         or di, di
0000 ffa4 0003 0004 ff96 ff9a ffa4 0000 --Z- 0148:7403         je 014d
0000 ffa4 0003 0004 ff96 ff9a ffa4 0000 --Z- 014d:837c0200     cmp [si+2], 0 ;[ffa6]0001
0000 ffa4 0003 0004 ff96 ff9a ffa4 0000 ---- 0151:7d0e         jnl 0161
0000 ffa4 0003 0004 ff96 ff9a ffa4 0000 ---- 0161:8b4402       mov ax, [si+2] ;[ffa6]0001
0001 ffa4 0003 0004 ff96 ff9a ffa4 0000 ---- 0164:e91c00       jmp 0183
0001 ffa4 0003 0004 ff96 ff9a ffa4 0000 ---- 0183:5f           pop di
0001 ffa4 0003 0004 ff98 ff9a ffa4 a728 ---- 0184:5e           pop si
0001 ffa4 0003 0004 ff9a ff9a 0001 a728 ---- 0185:89ec         mov sp, bp
0001 ffa4 0003 0004 ff9a ff9a 0001 a728 ---- 0187:5d           pop bp
0001 ffa4 0003 0004 ff9c ffbc 0001 a728 ---- 0188:c3           ret
0001 ffa4 0003 0004 ff9e ffbc 0001 a728 ---- 0127:83c406       add sp, 6
0001 ffa4 0003 0004 ffa4 ffbc 0001 a728 -S-- 012a:e95800       jmp 0185
0001 ffa4 0003 0004 ffa4 ffbc 0001 a728 -S-- 0185:89ec         mov sp, bp
0001 ffa4 0003 0004 ffbc ffbc 0001 a728 -S-- 0187:5d           pop bp
0001 ffa4 0003 0004 ffbe ffc6 0001 a728 -S-- 0188:c3           ret
0001 ffa4 0003 0004 ffc0 ffc6 0001 a728 -S-- 0097:83c406       add sp, 6
0001 ffa4 0003 0004 ffc6 ffc6 0001 a728 -S-- 009a:8a4604       mov al, [bp+4] ;[ffca]32
0032 ffa4 0003 0004 ffc6 ffc6 0001 a728 -S-- 009d:98           cbw
0032 ffa4 0003 0004 ffc6 ffc6 0001 a728 -S-- 009e:e9e400       jmp 0185
0032 ffa4 0003 0004 ffc6 ffc6 0001 a728 -S-- 0185:89ec         mov sp, bp
0032 ffa4 0003 0004 ffc6 ffc6 0001 a728 -S-- 0187:5d           pop bp
